"Topic","AI BIM Coordinator","SketchUp IFC AI-Classifier","LLMs Augmented Generative Design","Deffy AI – TOP Inspection"
"Representative Speaker","Samuel OOI (Lead)","Jason LI (Lead)","HUANG Ranzi (co-lead)","Ethan Ow (Rep) / YANG Fan (Lead)"
"Designation","BIM Associate, Kyoob Architects","Associate Director, DIST, M.Moser","Senior Engineer, Arup","Co-Founder, Wenti Labs"
"Linkedin","linkedin.com/in/samuelooi96","linkedin.com/in/leejayhom","linkedin.com/in/ranzi-huang","linkedin.com/in/ethanow"
"Profile Picture","","","",""
"Lead","Samuel OOI (Lead)","Jason LI (Lead)","NA","YANG Fan (Lead)"
"Co-lead","Lucas LEE","NA","CHONG Wen Jin (co-lead)
HUANG Ranzi (co-lead)","NA"
"Team Members","NA","Mustafa TOFUR, M Moser Associates
Kim LAW, M Moser Associates
Jonathan LIM, OpenAI
Bryan CHEUNG, Cloudtim","Alex MAISSANT, Hendry OCTAVANUS, Wing CHAN","BAEY Yan Ling
CHEI Ji Hyo
Darius CHEN
Derrick WONG Kar Wai
Ethan OW
LOH Kah Miin"
"Slide","https://docs.google.com/presentation/d/1gp4G4688n4rvrudrXd4CaFIxWphfPUc2/edit?usp=drive_link&ouid=107799242509066406009&rtpof=true&sd=true","https://mmoser1-my.sharepoint.com/:f:/g/personal/jasonl_mmoser_com/En-D7yTjUPBPnSa2F4vxP9cBaa8YVd6V8yUdJx-AqagxIA?e=bcx0zN","https://drive.google.com/drive/folders/1BqH7Ht7k0Kd4I6ekaVG2rlGN3QZL8q2m?usp=sharing","https://docs.google.com/presentation/d/1O774dKfbHzhBF3jZmjZgcLiUmpnAkuDZnpkrmr8U4LA/edit?slide=id.p17#slide=id.p17"
"Other Links","NA","OneDrive folder password: sia","https://drive.google.com/drive/folders/1BqH7Ht7k0Kd4I6ekaVG2rlGN3QZL8q2m?usp=sharing","https://app.gitbook.com/o/SKy0EgI4M8SEyqUUwNIj/s/blgThU921eh4aZMvwcZS/"
"About","The AI BIM Coordinator addresses the rising complexity and responsibility in BIM coordination, especially under Singapore’s Corenet X mandate, which requires fully coordinated BIM models for design gateway submissions. Traditionally, BIM coordination relies on exporting models to Navisworks for clash detection, but this process generates thousands of unstructured clashes, many of which are false positives or minor modeling errors. This overwhelms coordinators, slows decision-making, and diverts focus from critical design issues like headroom constraints. The AI-driven solution leverages Google Gemini 2.0 for advanced clash analysis, using n8n for data processing and PyRevit for Revit integration. The AI filters out low-priority clashes, assigns actionable items to the right disciplines, and provides resolution instructions, significantly reducing manual effort. Testing showed substantial reductions in irrelevant clashes, faster processing, and improved accuracy in identifying high-impact issues. The result is accelerated feedback loops, cost savings, and more efficient design resolution. Future plans include developing platform-agnostic tools, enhancing AI model capabilities, and automating reporting to further streamline BIM workflows and compliance with industry standards.","The SketchUp AI Classifier tackles the problem of unstructured and poorly classified BIM components, which disrupt downstream workflows and reduce the credibility of digital coordination. Most SketchUp models, especially in large-scale interior projects, contain thousands of objects from various sources—many lacking proper IFC classification, metadata, or layer assignment. This disorganization leads to delays, errors, and significant manual cleanup.
The solution is a SketchUp plugin integrated with an agentic AI workflow: TensorFlow powers visual recognition, GPT-4o proposes initial classification and metadata assignment, GPT-o3-mini validates and reasons over the suggestions, and GPT-4o-mini formats and outputs clean, structured BIM data. The PoC achieved over 95% classification accuracy, with average processing times of 18 seconds per object, demonstrating high scalability and consistency.
This automation dramatically reduces manual workload, ensures models are ready for compliance and collaboration, and raises overall productivity. Next steps include enabling user-supplied API keys, developing a Revit-compatible version, and seeking industry partnerships for broader adoption.","This project investigates how Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) can enhance generative design workflows within the Rhino and Grasshopper environment. The core challenge lies in extracting rich geometric information from images, deploying LLM agents to interact with parametric scripts, and generating accurate GhPython code for complex design tasks. Current tools demand extensive human input, making the process labor-intensive and limiting creative exploration.

This proof of concept (PoC) explores the potential of LLMs to automate geometry extraction, code generation, and iterative design refinement—potentially leveraging RAG for improved accuracy.

Future development will focus on expanding input methods, refining system prompting, introducing specialized agents for geometry handling, and integrating with other platforms such as ETABS and Revit to broaden applicability and enhance generative design capabilities.

This work highlights the potential of AI to make computational design faster, more accessible, and more intuitive for designers and engineers.","Deffy addresses the inefficiencies and risks in manual site inspections and report generation in construction. Traditionally, site teams spend hours recording defects, cross-referencing codes, and compiling reports, leading to delays, errors, and commercial risks. Deffy is a Telegram-based AI chatbot powered by OpenAI GPT-4.1, enabling users to input unstructured data (images, text, voice) during site walks. The AI processes this data, cross-references regulatory codes using RAG, assesses defect severity, and generates standardized, high-quality inspection reports in minutes. Trials showed a 5X productivity boost, reducing report generation time from 150 to 30 minutes, with 80% accuracy in compliance checks. This automation frees up professionals for higher-value tasks, improves report quality and code compliance, and serves as a learning tool for junior staff. Planned enhancements include expanding compliance code coverage, integrating plan drawings for issue localization, and adding real-time rectification tracking and dashboards for comprehensive site management."
