"Topic","ThinkSync AI Notes Processor","BIM 3D to 5D/6D Spec AI Agent","AI Contract Management"
"Representative Speaker","Frederico Ramos (Rep)","SEAH Kwee Yong (Rep)","CHAK Lee Meng (Rep)"
"Rep Designation","Principal, Aedas","Chartered Surveyor, SISV","Chief Executive Officer, CENS Private Limited"
"Linkedin","linkedin.com/in/frederico-ramos-architect","linkedin.com/in/kwee-yong-seah-160b3a21","linkedin.com/in/leemengchak"
"Profile Picture","","",""
"Lead","Frederico Ramos","SEAH Kwee Yong","CHAK Lee Meng"
"Co-lead","NA","CHENG Tai Fatt","TAN Tian Chong"
"Team Member","Brendan CHEONG, 
PHUAH Lin, 
YEOW Yann Herng","Gary ANG Chun Li, 
Jacky CHIN Kong Hin, 
LIM Wai Sing, 
Augustine YEE Meng Yew, 
Daniel CHOO","NA"
"Slide","https://docs.google.com/presentation/d/1D9qjrDjQNEAe8XJ7RfrJWyoTfDUoLjeMMFFQTLlTP2s/edit?usp=sharing","https://1drv.ms/p/c/330a1df49d0c90d3/EYB4ymT1td1Jg4Xzegk3Ae8BR2yCYbOJUeZwG7F8PuluyQ?e=cNvCbf","https://docs.google.com/presentation/d/1-pQyv5zqiUQPApOCS6u38PMoyzlDc5ZJ?rtpof=true&usp=drive_fs"
"Other Links","NA","NA","NA"
"About","This project addresses inefficiencies and miscommunication caused by fragmented project documentation, where critical updates, decisions, and files are scattered across emails, chats, and cloud storage, making it difficult for teams to stay aligned and act quickly. The core problem is the manual, time-consuming sorting and retrieval of relevant information from large volumes of unstructured emails and meeting notes, leading to delays, errors, and lost data. The solution leverages AI agents and automation tools (such as OpenAI GPT-4o and Microsoft Power Automate) to extract, classify, and structure emails and meeting notes within an integrated Microsoft 365 workflow. This enables teams to query important decisions while modeling, with parallel automated reviews of model areas in Revit against meeting minutes and guidelines. The system sends Teams notifications to highlight inconsistencies for user correction in real time. Outcomes include up to 70% time savings in manual sorting, improved accuracy, faster query responses, and streamlined documentation, enabling teams to focus on higher-value tasks while reducing miscommunication and operational risks.","The solution addresses the challenge of communicating and integrating data from designers’ BIM 3D models to downstream processes for quantity surveying and facilities management, which currently requires manual and error-prone workflows for generating specifications and maintenance checklists. This gap arises because existing tools struggle with seamless data exchange between BIM authoring software and downstream applications, leading to inefficiencies and delays in project documentation. The approach leverages AI agents like Google Vertex AI Gemini to query CSV data filtered from IFC model; uses generative AI to draft tailored specifications and checklists, and integrates historical templates and schedules of rates for improved accuracy and scalability. The outcomes include significant time savings, streamlined workflows, the ability to quickly generate accurate first drafts, and a scalable foundation for future project adoption.","This project introduces an AI-powered Construction Contract Management Solution (ACCMS) to address the inefficiencies and risks inherent in traditional contract management for construction projects. Current methods are plagued by manual processes, fragmented document handling, and a lack of real-time visibility, which cause delays, disputes, cost overruns, and compliance challenges—especially in multi-stakeholder environments with complex contract standards. The solution leverages generative AI (e.g., GPT-based models) for contract drafting and clause analysis, AI agents for real-time obligation monitoring, retrieval-augmented generation (RAG) for intelligent search and dispute resolution, and blockchain for automated milestone payments and audit trails—all integrated with project and site data via common BIM and project-management platforms. Key benefits include very substantial improvements in contract review time, very substantial reductions in legal disputes, enhanced compliance with international standards, greater project visibility, and streamlined automated payments—resulting in faster approvals, lower costs, and increased stakeholder trust."
"Prize","Innovation Award","Innovation Award","Innovation Award"
"One sentence summary of What, Why, Benefits & How ","This project uses AI agents and tools like GPT-4o and Power Automate to solve the inefficiencies of fragmented project documentation by automatically extracting, structuring, and querying unstructured emails and meeting notes, achieving up to 70% time savings, improving accuracy, and reducing miscommunication across teams.","This solution automates the conversion of BIM 3D data into specifications and maintenance checklists using Google Vertex AI Gemini, addressing manual inefficiencies by querying filtered IFC data and applying generative AI with historical templates, enabling faster, more accurate, and scalable documentation for QS and FM.","This project introduces an AI-powered contract management solution that integrates GPT-based drafting, AI agents, RAG search, and blockchain to streamline construction contracts, reducing delays, disputes, and costs while improving compliance, transparency, and payment automation across BIM-integrated workflows."
"Summary Slide","","",""
